index,node1,node2,predicted laybel,probability laybel,node1-name,node2-name
43103,6507,3853,1,0.9272374282134337,p_22822,a_67681
50342,5981,659,1,0.9115002056766763,p_13503,a_2144
96509,6705,3853,1,0.9601045534492867,p_25734,a_67681
97974,7919,3853,1,0.9601045534492867,p_66012,a_67681
135457,6378,659,1,0.9115002056766763,p_2074,a_2144
148619,8005,3853,1,0.9601045534492867,p_69061,a_67681
154329,6292,3853,1,0.9601045534492867,p_18822,a_67681
180977,5863,659,1,0.9115002056766763,p_12658,a_2144
184044,7095,3853,1,0.9601045534492867,p_34357,a_67681
207520,3517,659,1,0.9015002056766764,a_6251,a_2144
211934,6264,3853,1,0.9272374282134337,p_1829,a_67681
214701,6457,3853,1,0.9272374282134337,p_220,a_67681
233702,8084,659,1,0.9115002056766763,p_70954,a_2144
252763,7550,659,1,0.9115002056766763,p_53653,a_2144
282576,5910,3853,1,0.9601045534492867,p_12956,a_67681
291879,6824,3853,1,0.9601045534492867,p_27411,a_67681
293204,7053,3853,1,0.9599365257411273,p_32521,a_67681
347951,6472,3853,1,0.9172647009407063,p_2224,a_67681
350514,6444,3853,1,0.9601365257411274,p_219,a_67681
390978,6030,3853,1,0.9272374282134337,p_13809,a_67681
425544,6592,3853,1,0.9272374282134337,p_2379,a_67681
436232,6075,659,1,0.9013002056766762,p_14488,a_2144
450954,7343,3853,1,0.9288812638298719,p_4420,a_67681
452153,7250,3853,1,0.9601045534492867,p_40821,a_67681
469762,7356,659,1,0.9115002056766763,p_44743,a_2144
486489,7322,3853,1,0.9272374282134337,p_43763,a_67681
503919,6448,3853,1,0.9601365257411274,p_21950,a_67681
514269,8203,3853,1,0.9272374282134337,p_74208,a_67681
518843,6490,3853,1,0.9601045534492867,p_22546,a_67681
541217,7487,659,1,0.9115002056766763,p_51515,a_2144
547941,659,7294,1,0.9115002056766763,a_2144,p_42758
547962,659,5801,1,0.9015002056766764,a_2144,p_10867
547974,659,6485,1,0.9115002056766763,a_2144,p_22448
548143,659,6211,1,0.9115002056766763,a_2144,p_16464
548146,659,5875,1,0.9115002056766763,a_2144,p_12739
548181,659,6331,1,0.9115002056766763,a_2144,p_194
548182,659,3296,1,0.9115002056766763,a_2144,a_5917
548183,659,7199,1,0.9115002056766763,a_2144,p_39182
548209,659,6119,1,0.9115002056766763,a_2144,p_15264
548223,659,6574,1,0.9115002056766763,a_2144,p_235
548226,659,7807,1,0.9115002056766763,a_2144,p_61643
548230,659,7818,1,0.9115002056766763,a_2144,p_61929
548234,659,5868,1,0.9115002056766763,a_2144,p_12697
548243,659,6009,1,0.9115002056766763,a_2144,p_13670
548268,659,6585,1,0.9115002056766763,a_2144,p_23639
548301,659,3554,1,0.9115002056766763,a_2144,a_62917
548309,659,6422,1,0.9115002056766763,a_2144,p_2177
