index,node1,node2,predicted laybel,probability laybel,node1-name,node2-name
669,7405,3853,1,0.8962978536025469,p_46768,a_67681
7853,7420,1698,1,0.866236011826179,p_47286,a_3341
7907,7420,263,1,0.853603857618456,p_47286,a_12847
7966,7420,3106,1,0.855354191493376,p_47286,a_56658
9490,6523,3106,1,0.855354191493376,p_22976,a_56658
11165,1038,2876,1,0.8564690341235284,a_25803,a_53852
11230,1038,476,1,0.8578493516437312,a_25803,a_15749
11260,1038,2783,1,0.8583844570091006,a_25803,a_52407
11262,1038,3877,1,0.871369904001391,a_25803,a_68050
11589,1038,4072,1,0.8725015504968934,a_25803,a_71187
18728,6982,2651,1,0.8594568462103038,p_30802,a_5048
20394,156,4070,1,0.8589795879129914,a_11281,a_71163
20401,156,2489,1,0.8534359546323326,a_11281,a_47531
20768,156,4276,1,0.8620565109899146,a_11281,a_75742
26303,4749,2651,1,0.8594568462103038,a_85035,a_5048
29086,1216,7033,1,0.8716765597719176,a_278,p_32109
29764,1216,1631,1,0.8546741382924077,a_278,a_32397
30734,6031,1125,1,0.8509533144254017,p_13813,a_26923
36491,6409,2103,1,0.8718592153076411,p_21559,a_41680
36764,6409,1125,1,0.8509533144254017,p_21559,a_26923
36960,6409,1926,1,0.8591169672456254,p_21559,a_38939
37197,6409,3298,1,0.8659032583654771,p_21559,a_59195
39773,7014,1125,1,0.8718592153076411,p_31650,a_26923
39875,7014,2651,1,0.8763006997948624,p_31650,a_5048
39953,7014,380,1,0.8608523799810383,p_31650,a_14405
39955,7014,2188,1,0.8591169672456254,p_31650,a_43207
40098,7014,3853,1,0.8886071552428221,p_31650,a_67681
40195,7014,1732,1,0.8620681372107792,p_31650,a_34604
43103,6507,3853,1,0.9272374282134337,p_22822,a_67681
47152,5938,1698,1,0.8622025209634385,p_13203,a_3341
47278,5938,1125,1,0.8522199810920682,p_13203,a_26923
47700,5938,1732,1,0.8524514625735498,p_13203,a_34604
48503,6689,2103,1,0.8718592153076411,p_255,a_41680
48972,6689,1926,1,0.8591169672456254,p_255,a_38939
49209,6689,3298,1,0.8659032583654771,p_255,a_59195
50342,5981,659,1,0.9115002056766763,p_13503,a_2144
52020,506,4070,1,0.857043389419416,a_16196,a_71163
52394,506,4276,1,0.8589795879129914,a_16196,a_75742
54632,7242,1698,1,0.8712216582235283,p_40581,a_3341
62315,6732,2651,1,0.8594568462103038,p_26052,a_5048
63803,7279,2651,1,0.8594568462103038,p_42332,a_5048
66999,5846,3853,1,0.8511692271380632,p_11846,a_67681
74076,6153,3106,1,0.860942119389451,p_15986,a_56658
75671,7347,2651,1,0.8503883688404109,p_44417,a_5048
87480,274,7185,1,0.8682406114866184,a_13056,p_38460
90477,1207,1139,1,0.8568415101878881,a_27738,a_27041
91228,1207,2031,1,0.8662227935738475,a_27738,a_4084
92034,404,4070,1,0.8555642264229948,a_1472,a_71163
93353,6512,2651,1,0.8756249163190788,p_22867,a_5048
96286,6705,2651,1,0.8961222876929698,p_25734,a_5048
96509,6705,3853,1,0.9601045534492867,p_25734,a_67681
97649,7919,1125,1,0.8522199810920682,p_66012,a_26923
97974,7919,3853,1,0.9601045534492867,p_66012,a_67681
98071,7919,1732,1,0.8524514625735498,p_66012,a_34604
100303,6587,2103,1,0.8719086545637965,p_2366,a_41680
100563,6587,3106,1,0.8717406967891225,p_2366,a_56658
100678,6587,2651,1,0.8763006997948624,p_2366,a_5048
100758,6587,2188,1,0.8591169672456254,p_2366,a_43207
100998,6587,1732,1,0.8620681372107792,p_2366,a_34604
102950,1960,2845,1,0.8601108708434764,a_3947,a_53234
103932,6241,3298,1,0.8659032583654771,p_176,a_59195
104686,5808,2103,1,0.8514010756194313,p_11,a_41680
104833,5808,1698,1,0.8622025209634385,p_11,a_3341
105028,5808,659,1,0.8932699246582598,p_11,a_2144
105061,5808,2651,1,0.8961222876929698,p_11,a_5048
106405,6467,3106,1,0.855354191493376,p_2214,a_56658
107605,2103,7241,1,0.8514010756194313,a_41680,p_4054
107610,2103,7954,1,0.8514010756194313,a_41680,p_67322
107641,2103,8049,1,0.8718592153076411,a_41680,p_69968
107642,2103,3826,1,0.863017081464413,a_41680,a_67263
107659,2103,7889,1,0.8514010756194313,a_41680,p_64446
107660,2103,4571,1,0.8540960842951452,a_41680,a_8171
107678,2103,6457,1,0.8718592153076411,a_41680,p_220
107722,2103,3929,1,0.8514010756194313,a_41680,a_68807
107734,2103,14,1,0.850113115316608,a_41680,a_100335
107751,2103,6008,1,0.8718592153076411,a_41680,p_13662
107759,2103,153,1,0.8581804990956198,a_41680,a_11225
107773,2103,2715,1,0.8719086545637965,a_41680,a_51443
107786,2103,7858,1,0.8514010756194313,a_41680,p_63418
107819,2103,7484,1,0.8514010756194313,a_41680,p_51427
107823,2103,6560,1,0.8514010756194313,a_41680,p_23331
107830,2103,1542,1,0.8618006648038359,a_41680,a_31178
107832,2103,866,1,0.8718592153076411,a_41680,a_23791
107843,2103,3258,1,0.863017081464413,a_41680,a_58622
107851,2103,5901,1,0.8718592153076411,a_41680,p_12919
107855,2103,5739,1,0.8514010756194313,a_41680,p_101511
107866,2103,6620,1,0.8514010756194313,a_41680,p_2412
107875,2103,5807,1,0.8514010756194313,a_41680,p_10958
107888,2103,4558,1,0.8566728058624686,a_41680,a_8151
107902,2103,6967,1,0.8718592153076411,a_41680,p_3058
107905,2103,1344,1,0.863017081464413,a_41680,a_28980
107915,2103,8203,1,0.8718592153076411,a_41680,p_74208
107929,2103,6164,1,0.8718592153076411,a_41680,p_16012
107942,2103,1319,1,0.8568874437410463,a_41680,a_28716
107944,2103,4207,1,0.8568874437410463,a_41680,a_73936
107950,2103,542,1,0.8719086545637965,a_41680,a_16551
